"question","answer","category"
"Exchangeメールボックスで検索結果が表示されません","インデックス再構築またはキャッシュモード設定を確認してください。","メール"
"Exchangeメールボックスの容量が上限に近いです","不要メール削除またはアーカイブを行ってください。必要に応じて容量拡張可否を確認します。","メール"
"Exchangeメールボックスで添付ファイルを開けません","拡張子制限、ダウンロード失敗、関連付けアプリ不足の可能性があります。","メール"
"Exchangeメールボックスの差出人名を変更したいです","個人メールと共有メールでは設定方法が異なります。対象メールボックス名をお知らせください。","メール"
"Exchangeメールボックスに自動返信を設定したいです","OutlookまたはWeb版の自動応答設定から期間と文面を指定してください。","メール"
"Exchangeメールボックスから特定の宛先へ送れません","外部ドメイン制限やアドレス誤りの可能性があります。宛先とエラーメッセージを共有してください。","メール"
"Exchangeメールボックスで既読/未読の同期がずれます","キャッシュ再同期またはモバイル側設定の見直しを行ってください。","メール"
"共有メールボックスでメールを送信できません","送信制限、添付サイズ、ネットワーク接続を確認してください。NDRがある場合は内容を共有してください。","メール"
"共有メールボックスでメールを受信できません","サーバー接続、迷惑メール振り分け、メールボックス容量を確認してください。","メール"
"共有メールボックスが起動しません","Office修復またはプロファイル再作成で改善する場合があります。","メール"
"共有メールボックスで検索結果が表示されません","インデックス再構築またはキャッシュモード設定を確認してください。","メール"
"共有メールボックスの容量が上限に近いです","不要メール削除またはアーカイブを行ってください。必要に応じて容量拡張可否を確認します。","メール"
"共有メールボックスで添付ファイルを開けません","拡張子制限、ダウンロード失敗、関連付けアプリ不足の可能性があります。","メール"
"共有メールボックスの差出人名を変更したいです","個人メールと共有メールでは設定方法が異なります。対象メールボックス名をお知らせください。","メール"
"共有メールボックスに自動返信を設定したいです","OutlookまたはWeb版の自動応答設定から期間と文面を指定してください。","メール"
"共有メールボックスから特定の宛先へ送れません","外部ドメイン制限やアドレス誤りの可能性があります。宛先とエラーメッセージを共有してください。","メール"
"共有メールボックスで既読/未読の同期がずれます","キャッシュ再同期またはモバイル側設定の見直しを行ってください。","メール"
"メーリングリストでメールを送信できません","送信制限、添付サイズ、ネットワーク接続を確認してください。NDRがある場合は内容を共有してください。","メール"
"メーリングリストでメールを受信できません","サーバー接続、迷惑メール振り分け、メールボックス容量を確認してください。","メール"
"メーリングリストが起動しません","Office修復またはプロファイル再作成で改善する場合があります。","メール"
"メーリングリストで検索結果が表示されません","インデックス再構築またはキャッシュモード設定を確認してください。","メール"
"メーリングリストの容量が上限に近いです","不要メール削除またはアーカイブを行ってください。必要に応じて容量拡張可否を確認します。","メール"
"メーリングリストで添付ファイルを開けません","拡張子制限、ダウンロード失敗、関連付けアプリ不足の可能性があります。","メール"
"メーリングリストの差出人名を変更したいです","個人メールと共有メールでは設定方法が異なります。対象メールボックス名をお知らせください。","メール"
"メーリングリストに自動返信を設定したいです","OutlookまたはWeb版の自動応答設定から期間と文面を指定してください。","メール"
"メーリングリストから特定の宛先へ送れません","外部ドメイン制限やアドレス誤りの可能性があります。宛先とエラーメッセージを共有してください。","メール"
"メーリングリストで既読/未読の同期がずれます","キャッシュ再同期またはモバイル側設定の見直しを行ってください。","メール"
"スマホのメールアプリでメールを送信できません","送信制限、添付サイズ、ネットワーク接続を確認してください。NDRがある場合は内容を共有してください。","メール"
"スマホのメールアプリでメールを受信できません","サーバー接続、迷惑メール振り分け、メールボックス容量を確認してください。","メール"
"スマホのメールアプリが起動しません","Office修復またはプロファイル再作成で改善する場合があります。","メール"
"スマホのメールアプリで検索結果が表示されません","インデックス再構築またはキャッシュモード設定を確認してください。","メール"
"スマホのメールアプリの容量が上限に近いです","不要メール削除またはアーカイブを行ってください。必要に応じて容量拡張可否を確認します。","メール"
"スマホのメールアプリで添付ファイルを開けません","拡張子制限、ダウンロード失敗、関連付けアプリ不足の可能性があります。","メール"
"スマホのメールアプリの差出人名を変更したいです","個人メールと共有メールでは設定方法が異なります。対象メールボックス名をお知らせください。","メール"
"スマホのメールアプリに自動返信を設定したいです","OutlookまたはWeb版の自動応答設定から期間と文面を指定してください。","メール"
"スマホのメールアプリから特定の宛先へ送れません","外部ドメイン制限やアドレス誤りの可能性があります。宛先とエラーメッセージを共有してください。","メール"
"スマホのメールアプリで既読/未読の同期がずれます","キャッシュ再同期またはモバイル側設定の見直しを行ってください。","メール"
"Excelがフリーズします","セーフモード起動、アドイン無効化、Office修復を順に試してください。","Officeアプリ"
"Excelが起動しません","ライセンス状態と更新状況を確認します。","Officeアプリ"
"Excelでファイルを保存できません","保存先権限、ファイル名、同期状態を確認してください。","Officeアプリ"
"Excelでマクロが実行できません","セキュリティ設定でマクロが無効化されている可能性があります。承認済みファイルか確認してください。","Officeアプリ"
"Excelで文字化けします","フォント不足または文字コード不整合の可能性があります。元データ形式を確認してください。","Officeアプリ"
"Excelの印刷レイアウトが崩れます","既定プリンタやページ設定の影響があります。PDF化して確認してください。","Officeアプリ"
"Excelで共同編集できません","OneDrive/SharePoint保存かどうか、排他状態かどうかを確認してください。","Officeアプリ"
"Excelでアドインが表示されません","アドインの配布状態と読み込み設定を確認します。","Officeアプリ"
"Excelのライセンス認証が外れました","サインイン状態を確認し、必要であれば再認証してください。","Officeアプリ"
"Excelで旧形式ファイルが開けません","互換機能の追加またはファイル修復を試してください。","Officeアプリ"
"Wordがフリーズします","セーフモード起動、アドイン無効化、Office修復を順に試してください。","Officeアプリ"
"Wordが起動しません","ライセンス状態と更新状況を確認します。","Officeアプリ"
"Wordでファイルを保存できません","保存先権限、ファイル名、同期状態を確認してください。","Officeアプリ"
"Wordでマクロが実行できません","セキュリティ設定でマクロが無効化されている可能性があります。承認済みファイルか確認してください。","Officeアプリ"
"Wordで文字化けします","フォント不足または文字コード不整合の可能性があります。元データ形式を確認してください。","Officeアプリ"
"Wordの印刷レイアウトが崩れます","既定プリンタやページ設定の影響があります。PDF化して確認してください。","Officeアプリ"
"Wordで共同編集できません","OneDrive/SharePoint保存かどうか、排他状態かどうかを確認してください。","Officeアプリ"
"Wordでアドインが表示されません","アドインの配布状態と読み込み設定を確認します。","Officeアプリ"
"Wordのライセンス認証が外れました","サインイン状態を確認し、必要であれば再認証してください。","Officeアプリ"
"Wordで旧形式ファイルが開けません","互換機能の追加またはファイル修復を試してください。","Officeアプリ"
"PowerPointがフリーズします","セーフモード起動、アドイン無効化、Office修復を順に試してください。","Officeアプリ"
"PowerPointが起動しません","ライセンス状態と更新状況を確認します。","Officeアプリ"
"PowerPointでファイルを保存できません","保存先権限、ファイル名、同期状態を確認してください。","Officeアプリ"
"PowerPointでマクロが実行できません","セキュリティ設定でマクロが無効化されている可能性があります。承認済みファイルか確認してください。","Officeアプリ"
"PowerPointで文字化けします","フォント不足または文字コード不整合の可能性があります。元データ形式を確認してください。","Officeアプリ"
"PowerPointの印刷レイアウトが崩れます","既定プリンタやページ設定の影響があります。PDF化して確認してください。","Officeアプリ"
"PowerPointで共同編集できません","OneDrive/SharePoint保存かどうか、排他状態かどうかを確認してください。","Officeアプリ"
"PowerPointでアドインが表示されません","アドインの配布状態と読み込み設定を確認します。","Officeアプリ"
"PowerPointのライセンス認証が外れました","サインイン状態を確認し、必要であれば再認証してください。","Officeアプリ"
"PowerPointで旧形式ファイルが開けません","互換機能の追加またはファイル修復を試してください。","Officeアプリ"
"Accessがフリーズします","セーフモード起動、アドイン無効化、Office修復を順に試してください。","Officeアプリ"
"Accessが起動しません","ライセンス状態と更新状況を確認します。","Officeアプリ"
"Accessでファイルを保存できません","保存先権限、ファイル名、同期状態を確認してください。","Officeアプリ"
"Accessでマクロが実行できません","セキュリティ設定でマクロが無効化されている可能性があります。承認済みファイルか確認してください。","Officeアプリ"
"Accessで文字化けします","フォント不足または文字コード不整合の可能性があります。元データ形式を確認してください。","Officeアプリ"
"Accessの印刷レイアウトが崩れます","既定プリンタやページ設定の影響があります。PDF化して確認してください。","Officeアプリ"
"Accessで共同編集できません","OneDrive/SharePoint保存かどうか、排他状態かどうかを確認してください。","Officeアプリ"
"Accessでアドインが表示されません","アドインの配布状態と読み込み設定を確認します。","Officeアプリ"
"Accessのライセンス認証が外れました","サインイン状態を確認し、必要であれば再認証してください。","Officeアプリ"
"Accessで旧形式ファイルが開けません","互換機能の追加またはファイル修復を試してください。","Officeアプリ"
"OneNoteがフリーズします","セーフモード起動、アドイン無効化、Office修復を順に試してください。","Officeアプリ"
"OneNoteが起動しません","ライセンス状態と更新状況を確認します。","Officeアプリ"
"OneNoteでファイルを保存できません","保存先権限、ファイル名、同期状態を確認してください。","Officeアプリ"
"OneNoteでマクロが実行できません","セキュリティ設定でマクロが無効化されている可能性があります。承認済みファイルか確認してください。","Officeアプリ"
"OneNoteで文字化けします","フォント不足または文字コード不整合の可能性があります。元データ形式を確認してください。","Officeアプリ"
"OneNoteの印刷レイアウトが崩れます","既定プリンタやページ設定の影響があります。PDF化して確認してください。","Officeアプリ"
"OneNoteで共同編集できません","OneDrive/SharePoint保存かどうか、排他状態かどうかを確認してください。","Officeアプリ"
"OneNoteでアドインが表示されません","アドインの配布状態と読み込み設定を確認します。","Officeアプリ"
"OneNoteのライセンス認証が外れました","サインイン状態を確認し、必要であれば再認証してください。","Officeアプリ"
"OneNoteで旧形式ファイルが開けません","互換機能の追加またはファイル修復を試してください。","Officeアプリ"
"Teamsにサインインできません","SSO連携またはライセンス付与を確認します。","コラボレーション"
"Teamsで会議を開始できません","主催者権限、ネットワーク、アプリ更新状態を確認してください。","コラボレーション"
"Teamsで画面共有できません","画面収録権限やGPU設定、発表者権限を確認してください。","コラボレーション"
"Teamsの通知が届きません","アプリ通知設定とOSの通知許可を確認してください。","コラボレーション"
"Teamsでマイクが使えません","会議アプリ側の入力デバイス設定とOSのマイク権限を確認してください。","コラボレーション"
"Teamsでカメラ映像が映りません","他アプリによるカメラ占有や権限設定を確認してください。","コラボレーション"
"Teamsの録画保存先がわかりません","製品ごとにクラウド保存先が異なります。会議URLまたは主催者情報を共有してください。","コラボレーション"
"Teamsの会議URLを発行できません","ライセンス不足または組織ポリシー制限の可能性があります。","コラボレーション"
"Teamsでゲスト参加を許可したいです","外部参加ポリシーの対象範囲を確認し、必要に応じて設定変更申請を行ってください。","コラボレーション"
"Teamsのメッセージ履歴が表示されません","保持ポリシーや同期不具合の可能性があります。対象チャネル名をお知らせください。","コラボレーション"
"Zoomにサインインできません","SSO連携またはライセンス付与を確認します。","コラボレーション"
"Zoomで会議を開始できません","主催者権限、ネットワーク、アプリ更新状態を確認してください。","コラボレーション"
"Zoomで画面共有できません","画面収録権限やGPU設定、発表者権限を確認してください。","コラボレーション"
"Zoomの通知が届きません","アプリ通知設定とOSの通知許可を確認してください。","コラボレーション"
"Zoomでマイクが使えません","会議アプリ側の入力デバイス設定とOSのマイク権限を確認してください。","コラボレーション"
"Zoomでカメラ映像が映りません","他アプリによるカメラ占有や権限設定を確認してください。","コラボレーション"
"Zoomの録画保存先がわかりません","製品ごとにクラウド保存先が異なります。会議URLまたは主催者情報を共有してください。","コラボレーション"
"Zoomの会議URLを発行できません","ライセンス不足または組織ポリシー制限の可能性があります。","コラボレーション"
"Zoomでゲスト参加を許可したいです","外部参加ポリシーの対象範囲を確認し、必要に応じて設定変更申請を行ってください。","コラボレーション"
"Zoomのメッセージ履歴が表示されません","保持ポリシーや同期不具合の可能性があります。対象チャネル名をお知らせください。","コラボレーション"
"Slackにサインインできません","SSO連携またはライセンス付与を確認します。","コラボレーション"
"Slackで会議を開始できません","主催者権限、ネットワーク、アプリ更新状態を確認してください。","コラボレーション"
"Slackで画面共有できません","画面収録権限やGPU設定、発表者権限を確認してください。","コラボレーション"
"Slackの通知が届きません","アプリ通知設定とOSの通知許可を確認してください。","コラボレーション"
"Slackでマイクが使えません","会議アプリ側の入力デバイス設定とOSのマイク権限を確認してください。","コラボレーション"
"Slackでカメラ映像が映りません","他アプリによるカメラ占有や権限設定を確認してください。","コラボレーション"
"Slackの録画保存先がわかりません","製品ごとにクラウド保存先が異なります。会議URLまたは主催者情報を共有してください。","コラボレーション"
"Slackの会議URLを発行できません","ライセンス不足または組織ポリシー制限の可能性があります。","コラボレーション"
"Slackでゲスト参加を許可したいです","外部参加ポリシーの対象範囲を確認し、必要に応じて設定変更申請を行ってください。","コラボレーション"
"Slackのメッセージ履歴が表示されません","保持ポリシーや同期不具合の可能性があります。対象チャネル名をお知らせください。","コラボレーション"
"Google Meetにサインインできません","SSO連携またはライセンス付与を確認します。","コラボレーション"
"Google Meetで会議を開始できません","主催者権限、ネットワーク、アプリ更新状態を確認してください。","コラボレーション"
"Google Meetで画面共有できません","画面収録権限やGPU設定、発表者権限を確認してください。","コラボレーション"
"Google Meetの通知が届きません","アプリ通知設定とOSの通知許可を確認してください。","コラボレーション"
"Google Meetでマイクが使えません","会議アプリ側の入力デバイス設定とOSのマイク権限を確認してください。","コラボレーション"
"Google Meetでカメラ映像が映りません","他アプリによるカメラ占有や権限設定を確認してください。","コラボレーション"
"Google Meetの録画保存先がわかりません","製品ごとにクラウド保存先が異なります。会議URLまたは主催者情報を共有してください。","コラボレーション"
"Google Meetの会議URLを発行できません","ライセンス不足または組織ポリシー制限の可能性があります。","コラボレーション"
"Google Meetでゲスト参加を許可したいです","外部参加ポリシーの対象範囲を確認し、必要に応じて設定変更申請を行ってください。","コラボレーション"
"Google Meetのメッセージ履歴が表示されません","保持ポリシーや同期不具合の可能性があります。対象チャネル名をお知らせください。","コラボレーション"
"Webexにサインインできません","SSO連携またはライセンス付与を確認します。","コラボレーション"
"Webexで会議を開始できません","主催者権限、ネットワーク、アプリ更新状態を確認してください。","コラボレーション"
"Webexで画面共有できません","画面収録権限やGPU設定、発表者権限を確認してください。","コラボレーション"
"Webexの通知が届きません","アプリ通知設定とOSの通知許可を確認してください。","コラボレーション"
"Webexでマイクが使えません","会議アプリ側の入力デバイス設定とOSのマイク権限を確認してください。","コラボレーション"
"Webexでカメラ映像が映りません","他アプリによるカメラ占有や権限設定を確認してください。","コラボレーション"
"Webexの録画保存先がわかりません","製品ごとにクラウド保存先が異なります。会議URLまたは主催者情報を共有してください。","コラボレーション"
"Webexの会議URLを発行できません","ライセンス不足または組織ポリシー制限の可能性があります。","コラボレーション"
"Webexでゲスト参加を許可したいです","外部参加ポリシーの対象範囲を確認し、必要に応じて設定変更申請を行ってください。","コラボレーション"
"Webexのメッセージ履歴が表示されません","保持ポリシーや同期不具合の可能性があります。対象チャネル名をお知らせください。","コラボレーション"
"OneDriveにアクセスできません","アクセス権、ネットワーク接続、URL誤りを確認してください。","ファイル共有"
"OneDriveで同期エラーが出ます","ファイル名制限、容量不足、クライアント再起動を確認してください。","ファイル共有"
"OneDriveで共有リンクを作成できません","外部共有制限または権限不足の可能性があります。","ファイル共有"
"OneDriveにファイルをアップロードできません","サイズ上限、禁止拡張子、ブラウザキャッシュを確認してください。","ファイル共有"
"OneDriveから削除したファイルを戻したいです","ごみ箱またはバージョン履歴から復元できる場合があります。対象ファイル名をお知らせください。","ファイル共有"
"OneDriveでフォルダ名を変更できません","利用中、同期中、権限不足のいずれかの可能性があります。","ファイル共有"
"OneDriveの容量が不足しています","不要ファイル整理とアーカイブ移行を検討してください。","ファイル共有"
"OneDriveでアクセス権を一括変更したいです","対象フォルダ、対象者、権限レベルを一覧でお知らせください。","ファイル共有"
"OneDriveでバージョン履歴を確認したいです","ファイル右クリックまたは詳細メニューから履歴を確認できます。","ファイル共有"
"OneDriveの同期クライアントを再設定したいです","サインアウト後に再サインインし、同期対象を再選択してください。","ファイル共有"
"SharePointサイトにアクセスできません","アクセス権、ネットワーク接続、URL誤りを確認してください。","ファイル共有"
"SharePointサイトで同期エラーが出ます","ファイル名制限、容量不足、クライアント再起動を確認してください。","ファイル共有"
"SharePointサイトで共有リンクを作成できません","外部共有制限または権限不足の可能性があります。","ファイル共有"
"SharePointサイトにファイルをアップロードできません","サイズ上限、禁止拡張子、ブラウザキャッシュを確認してください。","ファイル共有"
"SharePointサイトから削除したファイルを戻したいです","ごみ箱またはバージョン履歴から復元できる場合があります。対象ファイル名をお知らせください。","ファイル共有"
"SharePointサイトでフォルダ名を変更できません","利用中、同期中、権限不足のいずれかの可能性があります。","ファイル共有"
"SharePointサイトの容量が不足しています","不要ファイル整理とアーカイブ移行を検討してください。","ファイル共有"
"SharePointサイトでアクセス権を一括変更したいです","対象フォルダ、対象者、権限レベルを一覧でお知らせください。","ファイル共有"
"SharePointサイトでバージョン履歴を確認したいです","ファイル右クリックまたは詳細メニューから履歴を確認できます。","ファイル共有"
"SharePointサイトの同期クライアントを再設定したいです","サインアウト後に再サインインし、同期対象を再選択してください。","ファイル共有"
"共有フォルダにアクセスできません","アクセス権、ネットワーク接続、URL誤りを確認してください。","ファイル共有"
"共有フォルダで同期エラーが出ます","ファイル名制限、容量不足、クライアント再起動を確認してください。","ファイル共有"
"共有フォルダで共有リンクを作成できません","外部共有制限または権限不足の可能性があります。","ファイル共有"
"共有フォルダにファイルをアップロードできません","サイズ上限、禁止拡張子、ブラウザキャッシュを確認してください。","ファイル共有"
"共有フォルダから削除したファイルを戻したいです","ごみ箱またはバージョン履歴から復元できる場合があります。対象ファイル名をお知らせください。","ファイル共有"
"共有フォルダでフォルダ名を変更できません","利用中、同期中、権限不足のいずれかの可能性があります。","ファイル共有"
"共有フォルダの容量が不足しています","不要ファイル整理とアーカイブ移行を検討してください。","ファイル共有"
"共有フォルダでアクセス権を一括変更したいです","対象フォルダ、対象者、権限レベルを一覧でお知らせください。","ファイル共有"
"共有フォルダでバージョン履歴を確認したいです","ファイル右クリックまたは詳細メニューから履歴を確認できます。","ファイル共有"
"共有フォルダの同期クライアントを再設定したいです","サインアウト後に再サインインし、同期対象を再選択してください。","ファイル共有"
"Boxにアクセスできません","アクセス権、ネットワーク接続、URL誤りを確認してください。","ファイル共有"
"Boxで同期エラーが出ます","ファイル名制限、容量不足、クライアント再起動を確認してください。","ファイル共有"
"Boxで共有リンクを作成できません","外部共有制限または権限不足の可能性があります。","ファイル共有"
"Boxにファイルをアップロードできません","サイズ上限、禁止拡張子、ブラウザキャッシュを確認してください。","ファイル共有"
"Boxから削除したファイルを戻したいです","ごみ箱またはバージョン履歴から復元できる場合があります。対象ファイル名をお知らせください。","ファイル共有"
"Boxでフォルダ名を変更できません","利用中、同期中、権限不足のいずれかの可能性があります。","ファイル共有"
"Boxの容量が不足しています","不要ファイル整理とアーカイブ移行を検討してください。","ファイル共有"
"Boxでアクセス権を一括変更したいです","対象フォルダ、対象者、権限レベルを一覧でお知らせください。","ファイル共有"
"Boxでバージョン履歴を確認したいです","ファイル右クリックまたは詳細メニューから履歴を確認できます。","ファイル共有"
"Boxの同期クライアントを再設定したいです","サインアウト後に再サインインし、同期対象を再選択してください。","ファイル共有"
"NASにアクセスできません","アクセス権、ネットワーク接続、URL誤りを確認してください。","ファイル共有"
"NASで同期エラーが出ます","ファイル名制限、容量不足、クライアント再起動を確認してください。","ファイル共有"
"NASで共有リンクを作成できません","外部共有制限または権限不足の可能性があります。","ファイル共有"
"NASにファイルをアップロードできません","サイズ上限、禁止拡張子、ブラウザキャッシュを確認してください。","ファイル共有"
"NASから削除したファイルを戻したいです","ごみ箱またはバージョン履歴から復元できる場合があります。対象ファイル名をお知らせください。","ファイル共有"
"NASでフォルダ名を変更できません","利用中、同期中、権限不足のいずれかの可能性があります。","ファイル共有"
"NASの容量が不足しています","不要ファイル整理とアーカイブ移行を検討してください。","ファイル共有"
"NASでアクセス権を一括変更したいです","対象フォルダ、対象者、権限レベルを一覧でお知らせください。","ファイル共有"
"NASでバージョン履歴を確認したいです","ファイル右クリックまたは詳細メニューから履歴を確認できます。","ファイル共有"
"NASの同期クライアントを再設定したいです","サインアウト後に再サインインし、同期対象を再選択してください。","ファイル共有"
"複合機で印刷できません","既定プリンタ、印刷キュー、用紙切れ、エラーメッセージを確認してください。","プリンタ・スキャン"
"複合機で紙詰まりが発生しました","表示手順に従い詰まりを除去してください。無理に引き抜かず担当者へ連絡してください。","プリンタ・スキャン"
"複合機の印刷ジョブが残ったままです","スプーラー再起動またはジョブ削除を行います。","プリンタ・スキャン"
"複合機でカラー印刷できません","利用権限またはアプリ側のモノクロ設定を確認してください。","プリンタ・スキャン"
"複合機のスキャンデータが届きません","送信先メールアドレス・保存先フォルダ・容量制限を確認してください。","プリンタ・スキャン"
"複合機を追加したいです","設置場所、利用人数、接続方式を記載して申請してください。","プリンタ・スキャン"
"複合機のドライバーを入れたいです","機種名とOSを確認し、標準配布対象かどうかを確認します。","プリンタ・スキャン"
"複合機で両面印刷ができません","対応機種かどうかとプリンタプロパティ設定を確認してください。","プリンタ・スキャン"
"複合機でバーコードが潰れて印刷されます","解像度設定、用紙サイズ、ドライバー種別を確認してください。","プリンタ・スキャン"
"複合機のトナー交換時期を確認したいです","管理画面または本体パネルで残量確認が可能です。必要なら交換品を手配します。","プリンタ・スキャン"
"ネットワークプリンターで印刷できません","既定プリンタ、印刷キュー、用紙切れ、エラーメッセージを確認してください。","プリンタ・スキャン"
"ネットワークプリンターで紙詰まりが発生しました","表示手順に従い詰まりを除去してください。無理に引き抜かず担当者へ連絡してください。","プリンタ・スキャン"
"ネットワークプリンターの印刷ジョブが残ったままです","スプーラー再起動またはジョブ削除を行います。","プリンタ・スキャン"
"ネットワークプリンターでカラー印刷できません","利用権限またはアプリ側のモノクロ設定を確認してください。","プリンタ・スキャン"
"ネットワークプリンターのスキャンデータが届きません","送信先メールアドレス・保存先フォルダ・容量制限を確認してください。","プリンタ・スキャン"
"ネットワークプリンターを追加したいです","設置場所、利用人数、接続方式を記載して申請してください。","プリンタ・スキャン"
"ネットワークプリンターのドライバーを入れたいです","機種名とOSを確認し、標準配布対象かどうかを確認します。","プリンタ・スキャン"
"ネットワークプリンターで両面印刷ができません","対応機種かどうかとプリンタプロパティ設定を確認してください。","プリンタ・スキャン"
"ネットワークプリンターでバーコードが潰れて印刷されます","解像度設定、用紙サイズ、ドライバー種別を確認してください。","プリンタ・スキャン"
"ネットワークプリンターのトナー交換時期を確認したいです","管理画面または本体パネルで残量確認が可能です。必要なら交換品を手配します。","プリンタ・スキャン"
"ラベルプリンターで印刷できません","既定プリンタ、印刷キュー、用紙切れ、エラーメッセージを確認してください。","プリンタ・スキャン"
"ラベルプリンターで紙詰まりが発生しました","表示手順に従い詰まりを除去してください。無理に引き抜かず担当者へ連絡してください。","プリンタ・スキャン"
"ラベルプリンターの印刷ジョブが残ったままです","スプーラー再起動またはジョブ削除を行います。","プリンタ・スキャン"
"ラベルプリンターでカラー印刷できません","利用権限またはアプリ側のモノクロ設定を確認してください。","プリンタ・スキャン"
"ラベルプリンターのスキャンデータが届きません","送信先メールアドレス・保存先フォルダ・容量制限を確認してください。","プリンタ・スキャン"
"ラベルプリンターを追加したいです","設置場所、利用人数、接続方式を記載して申請してください。","プリンタ・スキャン"
"ラベルプリンターのドライバーを入れたいです","機種名とOSを確認し、標準配布対象かどうかを確認します。","プリンタ・スキャン"
"ラベルプリンターで両面印刷ができません","対応機種かどうかとプリンタプロパティ設定を確認してください。","プリンタ・スキャン"
"ラベルプリンターでバーコードが潰れて印刷されます","解像度設定、用紙サイズ、ドライバー種別を確認してください。","プリンタ・スキャン"
"ラベルプリンターのトナー交換時期を確認したいです","管理画面または本体パネルで残量確認が可能です。必要なら交換品を手配します。","プリンタ・スキャン"
"スキャナーで印刷できません","既定プリンタ、印刷キュー、用紙切れ、エラーメッセージを確認してください。","プリンタ・スキャン"
"スキャナーで紙詰まりが発生しました","表示手順に従い詰まりを除去してください。無理に引き抜かず担当者へ連絡してください。","プリンタ・スキャン"
"スキャナーの印刷ジョブが残ったままです","スプーラー再起動またはジョブ削除を行います。","プリンタ・スキャン"
"スキャナーでカラー印刷できません","利用権限またはアプリ側のモノクロ設定を確認してください。","プリンタ・スキャン"
"スキャナーのスキャンデータが届きません","送信先メールアドレス・保存先フォルダ・容量制限を確認してください。","プリンタ・スキャン"
"スキャナーを追加したいです","設置場所、利用人数、接続方式を記載して申請してください。","プリンタ・スキャン"
"スキャナーのドライバーを入れたいです","機種名とOSを確認し、標準配布対象かどうかを確認します。","プリンタ・スキャン"
"スキャナーで両面印刷ができません","対応機種かどうかとプリンタプロパティ設定を確認してください。","プリンタ・スキャン"
"スキャナーでバーコードが潰れて印刷されます","解像度設定、用紙サイズ、ドライバー種別を確認してください。","プリンタ・スキャン"
"スキャナーのトナー交換時期を確認したいです","管理画面または本体パネルで残量確認が可能です。必要なら交換品を手配します。","プリンタ・スキャン"
"PDFプリンターで印刷できません","既定プリンタ、印刷キュー、用紙切れ、エラーメッセージを確認してください。","プリンタ・スキャン"
"PDFプリンターで紙詰まりが発生しました","表示手順に従い詰まりを除去してください。無理に引き抜かず担当者へ連絡してください。","プリンタ・スキャン"
"PDFプリンターの印刷ジョブが残ったままです","スプーラー再起動またはジョブ削除を行います。","プリンタ・スキャン"
"PDFプリンターでカラー印刷できません","利用権限またはアプリ側のモノクロ設定を確認してください。","プリンタ・スキャン"
"PDFプリンターのスキャンデータが届きません","送信先メールアドレス・保存先フォルダ・容量制限を確認してください。","プリンタ・スキャン"
"PDFプリンターを追加したいです","設置場所、利用人数、接続方式を記載して申請してください。","プリンタ・スキャン"
"PDFプリンターのドライバーを入れたいです","機種名とOSを確認し、標準配布対象かどうかを確認します。","プリンタ・スキャン"
"PDFプリンターで両面印刷ができません","対応機種かどうかとプリンタプロパティ設定を確認してください。","プリンタ・スキャン"
"PDFプリンターでバーコードが潰れて印刷されます","解像度設定、用紙サイズ、ドライバー種別を確認してください。","プリンタ・スキャン"
"PDFプリンターのトナー交換時期を確認したいです","管理画面または本体パネルで残量確認が可能です。必要なら交換品を手配します。","プリンタ・スキャン"
"iPhoneの初期設定方法を教えてください","同梱手順書またはMDM登録手順に従って初期設定してください。","モバイル端末"
"iPhoneで会社メールを受信できません","MDM登録、メールプロファイル、ネットワーク接続を確認してください。","モバイル端末"
"iPhoneの画面ロック解除ができません","本人確認後に初期化または管理画面からの解除可否を確認します。","モバイル端末"
"iPhoneが紛失・盗難にあいました","至急情シスへ連絡してください。回線停止、遠隔ロック、ワイプを実施します。","モバイル端末"
"iPhoneのSIMが認識されません","SIM挿し直しと再起動を試してください。改善しなければ回線会社へ確認します。","モバイル端末"
"iPhoneでテザリングできません","契約プランと端末設定を確認してください。利用制限がある場合があります。","モバイル端末"
"iPhoneのOS更新ができません","空き容量、Wi-Fi接続、バッテリー残量を確認してください。","モバイル端末"
"iPhoneでアプリをインストールできません","MDM配布制限またはストア利用制限の可能性があります。","モバイル端末"
"iPhoneのバッテリー消耗が激しいです","高負荷アプリ、電波状況、劣化状態を確認してください。","モバイル端末"
"iPhoneを機種変更したいです","利用年数、故障状況、上長承認を確認のうえ交換可否を案内します。","モバイル端末"
"iPadの初期設定方法を教えてください","同梱手順書またはMDM登録手順に従って初期設定してください。","モバイル端末"
"iPadで会社メールを受信できません","MDM登録、メールプロファイル、ネットワーク接続を確認してください。","モバイル端末"
"iPadの画面ロック解除ができません","本人確認後に初期化または管理画面からの解除可否を確認します。","モバイル端末"
"iPadが紛失・盗難にあいました","至急情シスへ連絡してください。回線停止、遠隔ロック、ワイプを実施します。","モバイル端末"
"iPadのSIMが認識されません","SIM挿し直しと再起動を試してください。改善しなければ回線会社へ確認します。","モバイル端末"
"iPadでテザリングできません","契約プランと端末設定を確認してください。利用制限がある場合があります。","モバイル端末"
"iPadのOS更新ができません","空き容量、Wi-Fi接続、バッテリー残量を確認してください。","モバイル端末"
"iPadでアプリをインストールできません","MDM配布制限またはストア利用制限の可能性があります。","モバイル端末"
"iPadのバッテリー消耗が激しいです","高負荷アプリ、電波状況、劣化状態を確認してください。","モバイル端末"
"iPadを機種変更したいです","利用年数、故障状況、上長承認を確認のうえ交換可否を案内します。","モバイル端末"
